Smiles,Source
Cn1c(=O)ccn(CC(=O)NCC2CCCO2)c1=O,Enamine_antivirals
CCCC(C)NC(=O)Cn1ccc(=O)[nH]c1=O,Enamine_antivirals
CC(=O)c1ccc(OCC(O)Cn2c(C)nc3ccccc23)cc1,Enamine_antivirals
CS(=O)(=O)N1CCCCC1C(=O)NCCc1cccnc1,Enamine_antivirals
O=C(NC1CCCCNC1=O)Nc1cccnc1,Enamine_antivirals
COCCOc1ccc(NC(=O)C2CCCO2)cn1,Enamine_antivirals
CC1CN(CCNC(=O)Cn2nc(C)cc2C)CC(C)O1,Enamine_antivirals
CC(OCC(F)(F)F)C(=O)Nc1ccc(nc1)N1CCOCC1,Enamine_antivirals
FC(F)(F)c1ccn(CC(=O)NCC2CCCO2)n1,Enamine_antivirals
O=C(NCCC1=CCCCC1)Nc1ccc(nc1)N1CCOCC1,Enamine_antivirals
O=C(NCCc1cccnc1)C1=CN2CCS(=O)(=O)N=C2C=C1,Enamine_antivirals
CC1CC1CNC(=O)Cn1ccc(=O)[nH]c1=O,Enamine_antivirals
OCc1nc2ccccc2n1CC(O)COc1ccccc1F,Enamine_antivirals
CS(=O)(=O)N1CCCC(C1)C(=O)NCCc1cccnc1,Enamine_antivirals
COc1ccc(OCC(O)Cn2cnc3ccccc23)cc1,Enamine_antivirals
COCC(C)NC(=O)c1ccc(nc1)N1CC(C)OC(C)C1,Enamine_antivirals
CC(=O)NCCNC(=O)Nc1cccnc1N1CCCC1,Enamine_antivirals
Cn1c(=O)ccn(CC(=O)NCC2CCC2)c1=O,Enamine_antivirals
CC(C)CN1CCOC(CNC(=O)Cn2ccc(=O)n(C)c2=O)C1,Enamine_antivirals
CC1CCCCN1CCNC(=O)Nc1cc(C)on1,Enamine_antivirals
Cc1nc2ccccc2n1CC(O)COc1ccc(CC#N)cc1,Enamine_antivirals
CC1CCCCC1NC(=O)Cn1ccc(=O)n(C)c1=O,Enamine_antivirals
CC1CCCC(NC(=O)Cn2ccc(=O)n(C)c2=O)C1C,Enamine_antivirals
CN1N=C(CCC1=O)C(=O)NCCc1cccnc1,Enamine_antivirals
Cn1c(=O)ccn(CC(=O)NCC2CC2)c1=O,Enamine_antivirals
CCOC(C)C(=O)NCc1ccc(nc1)N1CCOCC1,Enamine_antivirals
CC1CCCCC1OCCNC(=O)Nc1cc(C)on1,Enamine_antivirals
O=C(NCCN1CCCCC1)Nc1nccs1,Enamine_antivirals
FC(F)(F)CNC(=O)c1cccnc1N1CCOCC1,Enamine_antivirals
CC1CCCN(CCNC(=O)Nc2cc(C)on2)C1,Enamine_antivirals
CC(C)N1CC(CC1=O)C(=O)NCCc1csc(C)n1,Enamine_antivirals
CC(NC(=O)Cn1cc(ccc1=O)C(F)(F)F)C1CCCO1,Enamine_antivirals
COCCOc1ccc(NC(=O)C2=NN(C)C(=O)CC2)cn1,Enamine_antivirals
COCCNC(=O)c1cccnc1N1CCOCC1,Enamine_antivirals
CSCCC(=O)NCc1ccc(nc1)N1CC(C)OC(C)C1,Enamine_antivirals
CC(C)CNC(=O)Nc1ccc(nc1)N1CCCC1,Enamine_antivirals
Cn1c(=O)ccn(CC(=O)NC2CCCCC2)c1=O,Enamine_antivirals
CC(NC(=O)Nc1nccs1)C1CCCO1,Enamine_antivirals
CC(CNC(=O)Nc1cc(C)on1)N1CCCC(C)C1,Enamine_antivirals
Cn1c(=O)n(C)c2ncn(CC(O)c3cccc(F)c3)c2c1=O,Enamine_antivirals
CC(=O)Nc1ccc(cn1)N1CCOCC1,Enamine_antivirals
O=C(Cn1cccnc1=O)NC1CCCCNC1=O,Enamine_antivirals
CS(=O)(=O)NCCC(=O)Nc1ccc(nc1)N1CCOCC1,Enamine_antivirals
OC(COc1ccc(CC#N)cc1)Cn1cnc2ccccc12,Enamine_antivirals
CC(NC(=O)N)C(=O)NCc1ccc(nc1)N1CC(C)OC(C)C1,Enamine_antivirals
COc1ncccc1NC(=O)NC1CC1,Enamine_antivirals
CS(=O)(=O)N1CCN(CC1)C(=O)NCCc1ccccn1,Enamine_antivirals
CC(OCC(F)(F)F)C(=O)NCc1ccnc(c1)N1CCOCC1,Enamine_antivirals
CN(C)C1(CNC(=O)Nc2nccs2)CCCC1,Enamine_antivirals
CC(CNC(=O)Cn1nc(C)cc1C)N1CCOCC1,Enamine_antivirals
COc1ccc(COCC(O)Cn2cnc3ccccc23)cc1,Enamine_antivirals
CS(=O)(=O)N1CCCC(C1)C(=O)NCCc1ccccn1,Enamine_antivirals
CC(CNC(=O)Nc1cccnc1)N1CCOCC1,Enamine_antivirals
CC(NC(=O)Cn1c(C)csc1=O)C1CC1,Enamine_antivirals
O=C(NCC1CCCO1)Nc1cccnc1,Enamine_antivirals
CCN(CC)S(=O)(=O)NCc1ccnc(c1)N1CCOCC1,Enamine_antivirals
CC1CN(CC(C)O1)S(=O)(=O)NCCc1ccccn1,Enamine_antivirals
O=C(Cn1ccc(=O)[nH]c1=O)NC1CCCCNC1=O,Enamine_antivirals
COc1ncccc1NC(=O)C1CCCO1,Enamine_antivirals
FC(F)(F)CC(=O)NCc1ccc(nc1)N1CCOCC1,Enamine_antivirals
CC(CNC(=O)Cc1c(C)noc1C)N1CCOCC1,Enamine_antivirals
CC(C)c1nnc(NC(=O)NC(C)C2CCCO2)s1,Enamine_antivirals
COCCOc1ccc(NC(=O)C2CCCN2S(=O)(=O)C)cn1,Enamine_antivirals
CC(CNC(=O)Nc1cc(C)on1)N1CCOCC1,Enamine_antivirals
O=C(NC1CCCCNC1=O)Nc1ccncc1,Enamine_antivirals
CC(NC(=O)Cn1ccc(=O)n(C)c1=O)C1CCCO1,Enamine_antivirals
CC(=O)N1CCC(CC1)NC(=O)Cn1cccc(c1=O)C(F)(F)F,Enamine_antivirals
CC(C)c1nnc(NC(=O)NC2CCC(O)CC2)s1,Enamine_antivirals
CC(C)C(NC(=O)C)C(=O)NCc1cccnc1N1CCOCC1,Enamine_antivirals
CC(CO)NC(=O)NCc1ccc(nc1)N1CC(C)OC(C)C1,Enamine_antivirals
CC(C)C(=O)Nc1nc(CC(=O)N)cs1,Enamine_antivirals
CC(CNC(=O)Nc1cc(C)on1)N1CC(C)OC(C)C1,Enamine_antivirals
CSC(C)C(=O)NCc1ccnc(c1)N1CCOCC1,Enamine_antivirals
O=C(NC1CCS(=O)(=O)C1)Nc1cccnc1,Enamine_antivirals
CC1CN(CC(C)O1)c1ccc(NC(=O)NCC2CCCO2)cn1,Enamine_antivirals
O=S(=O)(NCCc1cccnc1)N1CCOCC1,Enamine_antivirals
COCCCC(=O)Nc1ccc(nc1)N1CC(C)OC(C)C1,Enamine_antivirals
OC(COCc1ccccc1)Cn1cnc2ccccc12,Enamine_antivirals
COc1ccc(NC(=O)NCC2(CCCC2)N(C)C)cn1,Enamine_antivirals
CC1CCCC(NC(=O)Cn2cnnn2)C1C,Enamine_antivirals
O=C(NC1CCN2CCCCC12)Nc1cccnc1,Enamine_antivirals
CCC(C)(CNC(=O)Nc1cc(C)on1)N1CCOCC1,Enamine_antivirals
O=C(Cn1ccccc1=O)NCC1CCCO1,Enamine_antivirals
O=C(NC1CCCCNC1=O)Nc1nccs1,Enamine_antivirals
Cc1nnc(NC(=O)NC2CCCCNC2=O)s1,Enamine_antivirals
Cc1cc(NC(=O)NC2CCCCNC2=O)no1,Enamine_antivirals
CC1CCC(CC1)NC(=O)Cn1c(=O)c(C#N)cn(C2CC2)c1=O,Enamine_antivirals
COCCn1nc(ccc1=O)C(=O)NCCN1CC(C)OC(C)C1,Enamine_antivirals
CC(OCC(F)(F)F)C(=O)NCc1cccnc1N1CCOCC1,Enamine_antivirals
COCCn1nc(ccc1=O)C(=O)NC1CCN(CC1)C(=O)C,Enamine_antivirals
NC(=O)Cc1csc(NC(=O)CC2CCC=C2)n1,Enamine_antivirals
Cc1cc(NC(=O)NC2CCS(=O)(=O)C2)no1,Enamine_antivirals
Cc1cc(NC(=O)NCC2CCS(=O)(=O)C2)no1,Enamine_antivirals
CC(NC(=O)Nc1cc(C)nn1C)C1CCCO1,Enamine_antivirals
CC(CNC(=O)Nc1nccs1)N1CC(C)OC(C)C1,Enamine_antivirals
CC(C)CN1CCOC(CNC(=O)Nc2nncs2)C1,Enamine_antivirals
CC(C)C(CNC(=O)Cn1ccc(=O)n(C)c1=O)N1CCOCC1,Enamine_antivirals
CC(C(=O)NCc1cccnc1N1CCOCC1)S(=O)(=O)C,Enamine_antivirals
CC(C(=O)Nc1ccc(nc1)N1CC(C)OC(C)C1)S(=O)(=O)C,Enamine_antivirals
CC(OCC(F)(F)F)C(=O)NCc1ccc(nc1)N1CCOCC1,Enamine_antivirals
CC1CCCCC1OCCNc1c(C#N)c(=O)n(C)c(=O)n1C,Enamine_antivirals
CC(CO)NC(=O)Nc1ccc(nc1)N1CCCCC1,Enamine_antivirals
O=C(Cn1cccnc1=O)NCC1(CCCCC1)N1CCOCC1,Enamine_antivirals
Cc1nnc(NC(=O)NC2CCC(O)CC2)s1,Enamine_antivirals
Cc1cc(NC(=O)NCCN2CCCCCC2)no1,Enamine_antivirals
Cc1nc(CCNC(=O)NC2CCC(O)CC2)cs1,Enamine_antivirals
CC(C)C(NC(=O)C)C(=O)NCc1ccnc(c1)N1CCOCC1,Enamine_antivirals
CC(CN1CCOCC1)NC(=O)Nc1nnc(C)s1,Enamine_antivirals
Cc1noc(C)c1CC(=O)NCC1CCS(=O)(=O)C1,Enamine_antivirals
CC(CNC(=O)Nc1cc(C)on1)N1CCCCC1C,Enamine_antivirals
CC(C)(CNC(=O)Nc1nccs1)N1CCOCC1,Enamine_antivirals
COc1ccc(OC)c(c1)C(O)Cn1c(CO)nc2ccccc12,Enamine_antivirals
O=C(NCC1CCC1)Nc1nccs1,Enamine_antivirals
FC(F)(F)COc1ccc(NC(=O)C2CCCO2)cn1,Enamine_antivirals
CN1N=C(CCC1=O)C(=O)NCCc1ccccn1,Enamine_antivirals
O=C(Cn1ccccc1=O)NC1CCCCNC1=O,Enamine_antivirals
CC(Cn1cccn1)NS(=O)(=O)N1CCC(C)CC1,Enamine_antivirals
Cc1cc(C)n(CC(=O)NCC(C)(C)N2CCOCC2)n1,Enamine_antivirals
O=C(Cn1cnnn1)NCC1CCN(C1)C1CC1,Enamine_antivirals
CC(C)CNC(=O)NCc1cccnc1N1CCOCC1,Enamine_antivirals
O=C(Cn1c(=O)c(C#N)cn(C2CC2)c1=O)NC1CCCCCC1,Enamine_antivirals
CC(CO)NC(=O)NCc1ccnc(c1)N1CCOCC1,Enamine_antivirals
O=C(NC1CCCCNC1=O)Nc1nncs1,Enamine_antivirals
CC1CCN(CCNC(=O)Nc2nccs2)CC1,Enamine_antivirals
CC(C)(C)NC(=O)Cc1csc(n1)N1CCCC1=O,Enamine_antivirals
CN1N=C(CCC1=O)C(=O)NCCc1csc(C)n1,Enamine_antivirals
CC(Cn1cccn1)NS(=O)(=O)N1CCCCC1,Enamine_antivirals
CCC(C)(CNC(=O)Nc1nccs1)N1CCOCC1,Enamine_antivirals
Cc1cc(C)n(CC(=O)NCC2CCS(=O)(=O)C2)n1,Enamine_antivirals
CCn1cc(C#N)c(=O)n(CC(=O)NC2CC2)c1=O,Enamine_antivirals
Cc1cc(NC(=O)NC2CCCCNC2=O)n(C)n1,Enamine_antivirals
CS(=O)(=O)N1CCC(CC1)C(=O)NCCc1ccccn1,Enamine_antivirals
Cc1cc(NC(=O)NCCN2CCCCC2)no1,Enamine_antivirals
COCC(=O)Nc1ccc(nc1)N1CC(C)OC(C)C1,Enamine_antivirals
Cc1cc2ncn(CC(O)CN3C(=O)NC(C)(C)C3=O)c2cc1C,Enamine_antivirals
O=C(Cn1ccc(=O)[nH]c1=O)NCCCOC1CCCCC1,Enamine_antivirals
COc1ccc(NC(=O)NCCN2CCCCC2C)cn1,Enamine_antivirals
Cc1nc2ccccc2n1CC(O)COc1ccccc1F,Enamine_antivirals
CCC(C)(CNC(=O)Cn1ccc(=O)n(C)c1=O)N1CCOCC1,Enamine_antivirals
OCCC1COCCN1c1ncc(Cl)cn1,Enamine_antivirals
CCc1nc(CCNC(=O)C2CC3CCC2C3)cs1,Enamine_antivirals
CC(NC=O)c1nc2ccccc2n1CCOc1cccc(C)c1,Enamine_antivirals
COc1ccc(NC(=O)NCC(=O)N2CCCC2)cn1,Enamine_antivirals
COc1ncccc1NC(=O)NCC(C)(C)N1CCOCC1,Enamine_antivirals
COCCn1nc(ccc1=O)C(=O)NC(C1CC1)C1CC1,Enamine_antivirals
COCCOc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C)cn1,Enamine_antivirals
Cc1nn(C)c(C)c1CC(=O)NCCSC1CCCC1,Enamine_antivirals
