ID,compound_id,Smiles,pKi
87,CHEMBL170033,O=C(c1cccc2ccccc12)N1CCC(N2CCC(Oc3ccc(S(=O)(=O)c4ccc5c(c4)OCO5)cc3)CC2)CC1,9.301029996
88,CHEMBL146464,O=C(NC1CCN(Cc2ccccc2)CC1)C(O)(c1ccccc1)C1CCCC1,7.522878745
89,CHEMBL594376,C[C@@H]1CO[C@H](C[N+](C)(C)C)CO1,4.950000176
90,CHEMBL352380,C[C@@H](c1ccc(S(=O)(=O)c2ccc3c(c2)OCO3)cc1)N1CCN(C2CCN(C(=O)c3ccccc3Cl)CC2)C[C@H]1C,10
91,CHEMBL233202,CN(C)C1(CNCCC2=CCSCC2)COc2ccccc2OC1,7.920818754
92,CHEMBL3309717,C[C@H]1OCCO[C@@H]1C[N+](C)(C)C,4
93,CHEMBL499519,CCCCCCCCCCCC(OC(=O)C(CCCCN(O)C(C)=O)NC(=O)c1coc(-c2ccccc2O)n1)C(C)C(=O)NC1CCCCN(O)C1=O,6.200659451
94,CHEMBL130835,COc1ccccc1CN1CCC(C2CCN(C(=O)CCCCCCC(=O)N3CCC(C4CCN(Cc5ccccc5OC)CC4)CC3)CC2)CC1,8.036212173
95,CHEMBL410890,NCCC1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,6.200659451
96,CHEMBL150219,CC(C)=CCCN1CCC(NC(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,5.698970004
97,CHEMBL225074,COc1cccc(CN2CCC(N3CC(c4ccccc4)(c4ccccc4)NC3=O)CC2)c1,6.158015195
98,CHEMBL223055,C[N+]1(CCc2ccccc2)CCC(N2CC(c3ccccc3)(c3ccccc3)NC2=O)C1,8.26760624
99,CHEMBL7568,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,6.46470588
100,CHEMBL3629360,O=c1ccc2c([C@@H](O)CNCCc3ccc(CCN4CCC(Cn5cnc([C@](O)(c6ccccc6)C6CCCCC6)n5)CC4)cc3)ccc(O)c2[nH]1,9.853871964
101,CHEMBL2042407,C[N+](C)(C)C[C@@H]1COC[C@H](C(c2ccccc2)c2ccccc2)O1,4.549999989
102,CHEMBL71971,COc1ccc(S(=O)(=O)c2ccc(C(C#N)N3CCN(C4CCCCC4)CC3)cc2)cc1,8.13667714
103,CHEMBL140490,Cc1nc(N)nc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1,5.958607315
104,CHEMBL328120,CCCS(=O)(=O)N1CCC(N2CCC(C3(c4ccc([S+]([O-])c5ccc6c(c5)OCO6)cc4)CCCO3)CC2)CC1,7.91721463
105,CHEMBL221401,O=C1NC(c2ccc(F)cc2)(c2ccc(F)cc2)CN1C1CCN(Cc2cccc(F)c2)CC1,5.942714356
106,CHEMBL2107687,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1,7.721246399
107,CHEMBL3350063,C[C@H]1O[C@@H]([C@H]2CCCN2C)C[S@+]1[O-],4
108,CHEMBL83,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,5.557363474
109,CHEMBL328093,CCOC(=O)N1CCC(N2CCC(C3(c4ccc(S(=O)(=O)c5ccc6c(c5)OCO6)cc4)O[C@@H](C)[C@H](C)O3)CC2)CC1,8.739928612
110,CHEMBL2432059,CN(CCc1ccccn1)[C@H]1C2C3CC4C5C3CC2C5C41,5.449404793
111,CHEMBL58824,C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](/C=C\[C@H]3CCC[C@H](C)N3C)[C@@H]12,6.069998999
112,CHEMBL73501,CCN(CC)CCOCNC(=O)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,6.301029996
113,CHEMBL1221512,CC[C@H](C)[C@@H](CO[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCS(C)(=O)=O)C(=O)OC(C)C)NC[C@@H](N)CS,5.896880746
114,CHEMBL168707,CC(C1=C(CCN(C)C)Cc2ccc(Cl)cc21)c1ccccn1,6.439997673
115,CHEMBL553155,C[N+]1(C)CCC[C@H]1c1ccco1,5.130000141
116,CHEMBL71933,CNCCC1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,5.26760624
117,CHEMBL458416,Cc1ccc([C@@H]2CCCN2)o1,4.539999925
118,CHEMBL358193,O=C(NC1CCN(Cc2ccsc2)CC1)C(O)(c1ccccc1)C1CCCC1,7.102372909
119,CHEMBL2441752,CN1C[C@@H](C[N+](C)(C)C)OC1=O,4
120,CHEMBL460470,CN1CCCC1c1ccco1,4.379999983
121,CHEMBL4088272,CCCN1CCC=C(c2cc(-c3ccc(C)cc3)no2)C1,4.619999985
122,CHEMBL1197177,C[N+]1(C)[C@@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,8.350059029
123,CHEMBL1464005,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,9.148545702
124,CHEMBL412814,C[C@@H](c1ccc(S(=O)(=O)c2ccc3c(c2)OCO3)cc1)N1CCN(C2CCN(C(=O)c3ccccc3COC(=O)c3ccccc3)CC2)C[C@H]1C,9.698970004
125,CHEMBL277642,C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12,7.998394951
126,CHEMBL541424,C[C@@H]1O[C@H]([C@@H]2CCC[N+]2(C)C)C[S+]1[O-],4.643333347
127,CHEMBL350404,COc1cc2c(cc1S(=O)(=O)c1ccc([C@H](C)N3CCN(C4CCN(C(=O)c5ccccc5C)CC4)C[C@H]3C)cc1)OCO2,7.27572413
128,CHEMBL55,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,6.294992041
129,CHEMBL312344,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](CC3CC3)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1,5.454445493
130,CHEMBL113436,Cc1ccnc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1,5.602059991
131,CHEMBL3104093,CN1CCc2c(c3cccc4c3n2CCc2ccccc2-4)C1,5
132,CHEMBL355169,CCS(=O)(=O)N1CCC(N2CCC(Oc3ccc(S(=O)(=O)c4ccc5c(c4)OCO5)cc3)CC2)CC1,8.698970004
