ID,Smiles,YSI,YSI_err,Source
158,CCCCCC(OCC)OCC,42.9,,Pfefferle
159,CCCCCCCC(OCC)OCC,59.6,,Pfefferle
160,c1ccc(-c2ccccc2-c2ccccc2)cc1,1338.9,50,Pfefferle
161,c1cc2c3c(c1)ccc1cccc(c13)C2,1312.8,73.5,Pfefferle
162,c1ccc2c(c1)-c1cccc3cccc-2c13,1291.9,72.4,Pfefferle
163,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,1286.6,72.3,Pfefferle
164,c1cc2ccc3cccc4ccc(c1)c2c34,1250.1,70.1,Pfefferle
165,c1ccc(Cc2ccc(-c3ccccc3)cc2)cc1,1192.6,67.2,Pfefferle
166,Cc1c2ccccc2cc2ccccc12,1182.1,44.1,Pfefferle
167,c1ccc(-c2cccc3ccccc23)cc1,1103.7,41.4,Pfefferle
168,c1ccc(C(c2ccccc2)c2ccccc2)cc1,1093.3,61.5,Pfefferle
169,c1ccc2c(c1)CCc1ccccc1C2,1067.2,40.1,Pfefferle
170,Cc1cccc2c1Cc1ccccc1-2,1014.9,38.2,Pfefferle
171,c1ccc2c(c1)Cc1ccccc1C2,988.8,37,Pfefferle
172,c1ccc2c(c1)Cc1ccccc1-2,988.8,37,Pfefferle
173,Cc1ccccc1-c1ccccc1C,983.5,36.9,Pfefferle
174,c1ccc2cc3ccccc3cc2c1,962.6,103.7,Pfefferle
175,c1ccc2c(c1)CCc1ccccc1-2,952.2,35.7,Pfefferle
176,c1ccc2c(c1)ccc1ccccc12,941.7,35.1,Pfefferle
177,C1=C(c2ccccc2)Cc2ccccc21,931.3,35,Pfefferle
178,Cc1cccc(-c2cccc(C)c2)c1,931.3,52.9,Pfefferle
179,Cc1ccc(-c2ccc(C)cc2)cc1,899.9,51.2,Pfefferle
180,Cc1ccccc1-c1ccccc1,863.3,32.5,Pfefferle
181,CCCCCc1ccc(-c2ccccc2)cc1,863.3,32.5,Pfefferle
182,CCCCc1ccc(-c2ccccc2)cc1,847.7,31.8,Pfefferle
183,CCCc1ccc(-c2ccccc2)cc1,821.5,30.6,Pfefferle
184,CCc1ccc(-c2ccccc2)cc1,811.1,30.5,Pfefferle
185,CCC(c1ccccc1)c1ccccc1,805.8,30.5,Pfefferle
186,c1cc2c3c(cccc3c1)CC2,805.8,30.5,Pfefferle
187,Cc1cccc2c(C)cccc12,779.7,29.3,Pfefferle
188,Cc1cccc(-c2ccccc2)c1,779.7,29.3,Pfefferle
189,Cc1ccc2cc(C)ccc2c1,774.5,29.2,Pfefferle
190,Cc1ccc(-c2ccccc2)cc1,769.3,28.7,Pfefferle
191,C/C(=C\c1ccccc1)c1ccccc1,753.6,28.5,Pfefferle
192,Cc1cc2ccccc2cc1C,748.4,28,Pfefferle
193,C=C(c1ccccc1)c1ccccc1,743.1,28,Pfefferle
194,Cc1ccc2ccccc2c1C,743.1,28,Pfefferle
195,Cc1cc(C)c2ccccc2c1,743.1,28,Pfefferle
196,CCc1cccc2ccccc12,732.7,27.4,Pfefferle
197,CC(C)(c1ccccc1)c1ccccc1,727.5,27.3,Pfefferle
198,Cc1ccc(C)c2ccccc12,711.8,26.7,Pfefferle
199,CCc1ccc2ccccc2c1,701.3,26.6,Pfefferle
200,Cc1cccc2ccccc12,649.1,24.7,Pfefferle
201,Cc1ccc2ccccc2c1,649.1,24.7,Pfefferle
202,C(#Cc1ccccc1)c1ccccc1,638.6,24.1,Pfefferle
203,c1ccc(-c2ccccc2)cc1,612.5,22.9,Pfefferle
204,c1ccc(Cc2ccccc2)cc1,612.5,22.9,Pfefferle
205,Cc1cccc2c1CCCC2C,607.3,22.9,Pfefferle
206,C(=C\c1ccccc1)\c1ccccc1,602,22.8,Pfefferle
207,C(=C/c1ccccc1)\c1ccccc1,602,34.8,Pfefferle
208,Cc1c(C)c(C)c(C)c(C)c1C,565.4,21.5,Pfefferle
209,Cc1ccc(CCc2ccc(C)cc2)cc1,549.8,20.9,Pfefferle
210,C#Cc1cc(C)ccc1C,512.7,19.6,Pfefferle
211,CC1=Cc2ccccc2C1,500.1,19.1,Pfefferle
212,c1ccc2cccc-2cc1,492.3,19,Pfefferle
213,C#Cc1ccccc1C,485,18.5,Pfefferle
214,Cc1cc(C)c(C)c(C)c1C,481.8,18.4,Pfefferle
215,CCC#Cc1ccccc1,480.8,18.4,Pfefferle
216,c1ccc(CCc2ccccc2)cc1,471.4,17.9,Pfefferle
217,C=Cc1cc(C)ccc1C,469.3,17.8,Pfefferle
218,C1=Cc2ccccc2C1,467.7,17.8,Pfefferle
219,C1=Cc2ccccc2CC1,466.1,17.8,Pfefferle
220,c1ccc2ccccc2c1,466.1,8.4,Pfefferle
221,C#CCc1ccccc1,443.7,17.1,Pfefferle
222,C#Cc1ccc(CC)cc1,442.6,17.1,Pfefferle
223,c1ccc2c(c1)CCC2,439.5,16.6,Pfefferle
224,CC(C)=Cc1ccccc1,436.9,16.6,Pfefferle
225,CC#Cc1ccccc1,427.5,16.5,Pfefferle
226,c1ccc(CCCc2ccccc2)cc1,413.9,15.9,Pfefferle
227,Cc1ccc(C(C)(C)C)cc1,410.8,15.9,Pfefferle
228,C=Cc1ccccc1C,408.1,15.9,Pfefferle
229,Cc1ccc(C)c(C)c1C,393,15.3,Pfefferle
230,Cc1cc(C)c(C)cc1C,393,15.3,Pfefferle
231,Cc1cc(C)c(C)c(C)c1,386.2,14.8,Pfefferle
232,C#Cc1cccc(C)c1,384.6,14.7,Pfefferle
233,c1ccc(C2CCCCC2)cc1,377.3,14.7,Pfefferle
234,CCc1ccccc1CC,376.3,14.7,Pfefferle
235,C#Cc1ccc(C)cc1,374.7,14.7,Pfefferle
236,CC(C)c1cccc(C(C)C)c1,353.3,14,Pfefferle
237,C/C=C/c1ccccc1,352.2,13.5,Pfefferle
238,c1ccc(C2CC2)cc1,343.9,13.5,Pfefferle
239,c1ccc2c(c1)CCCC2,336,13.4,Pfefferle
240,Cc1ccc(C(C)C)cc1,330.3,12.9,Pfefferle
241,CCCCCCCCCCCCCCc1ccccc1,330.3,20.2,Pfefferle
242,C=Cc1cccc(C)c1,322.4,12.8,Pfefferle
243,CCc1cccc(CC)c1,320.9,12.8,Pfefferle
244,O=C(c1ccccc1)c1ccccc1,319.8,19.6,Pfefferle
245,CCCCCCCCCCCCCc1ccccc1,319.8,12.8,Pfefferle
246,C=Cc1ccc(C)cc1,318.8,12.8,Pfefferle
247,Cc1cccc(C)c1C,315.1,12.3,Pfefferle
248,C=CCc1ccccc1,310.9,12.3,Pfefferle
249,Cc1cc(C)cc(C)c1,310.9,12.3,Pfefferle
250,Cc1ccc(C)c(C)c1,308.3,12.2,Pfefferle
251,CCCCCCCCCCCCc1ccccc1,304.1,12.2,Pfefferle
252,C#CCCc1ccccc1,298.9,11.7,Pfefferle
253,CCCCCCCCCCCc1ccccc1,293.7,11.7,Pfefferle
254,CC(C)(C)c1ccccc1,291.1,11.6,Pfefferle
255,C=C(C)c1ccccc1,286.4,11.6,Pfefferle
256,CCCCCCCCCCc1ccccc1,283.2,11.6,Pfefferle
257,CCCCCCCCCc1ccccc1,283.2,11.6,Pfefferle
258,CCc1cccc(C)c1,278,11.1,Pfefferle
259,C=CCCc1ccccc1,275.9,11.1,Pfefferle
260,CC(C)(C)Cc1ccccc1,272.8,11,Pfefferle
261,CCc1ccc(CC)cc1,270.7,11,Pfefferle
262,CCc1ccccc1C,267,11,Pfefferle
263,CC(C)CCc1ccccc1,258.1,10.5,Pfefferle
264,CC(C)Cc1ccccc1,257.6,10.5,Pfefferle
265,CCc1ccc(C)cc1,257.1,10.5,Pfefferle
266,CCCCCCCc1ccccc1,257.1,10.5,Pfefferle
267,CCCCCCCCc1ccccc1,257.1,10.5,Pfefferle
268,CCCCCc1ccccc1,255,10.5,Pfefferle
269,CCCCCCc1ccccc1,246.7,9.9,Pfefferle
270,CCCCc1ccccc1,245.1,9.9,Pfefferle
271,c1ccc(Oc2ccccc2)cc1,241.4,9.9,Pfefferle
272,CCCc1ccccc1,235.7,9.9,Pfefferle
273,Cc1cccc(C)c1,221.6,9.3,Pfefferle
274,C#Cc1ccccc1,216.3,9.3,Pfefferle
275,CCC(C)c1ccccc1,199.1,8.7,Pfefferle
276,CC1=CC2C3CC(C=C3C)C2C1,189.2,8.2,Pfefferle
277,CC(C)c1ccccc1,187.6,8.2,Pfefferle
278,CC1=CCC=CC1,175.6,7.7,Pfefferle
279,C=Cc1ccccc1,174,7.7,Pfefferle
280,Cc1ccccc1,170.9,7.7,Pfefferle
281,C1=CC2C3C=CC(C3)C2C1,157.8,7.2,Pfefferle
282,Brc1ccccc1,137.4,6.7,Pfefferle
283,Clc1ccccc1,128,6.7,Pfefferle
284,N#Cc1ccccc1,115,6.3,Pfefferle
285,Fc1ccccc1,106.6,5.8,Pfefferle
286,C1CCC2CCCCC2C1,105.5,5.8,Pfefferle
287,C1=CCC=CC1,101.4,5.8,Pfefferle
288,c1ccccc1,100.3,5.8,Pfefferle
289,C1CCC(C2CCCCC2)CC1,117.1,5.9,Pfefferle
290,CC(CC(C)(C)C)CC(C)(C)C,99.3,2.9,Pfefferle
291,C1=CCCC=C1,98.8,5.8,Pfefferle
292,CC1=CCCC1,96.5,2.8,Pfefferle
293,C=CCCCCCCCCCC,90.3,2.6,Pfefferle
294,CC(C)=CC(C)(C)C,89.3,2.6,Pfefferle
295,CC(C)=C(C)C(C)C,87,2.5,Pfefferle
296,CC1CCC(C)C(C)C1,82.8,2.4,Pfefferle
297,CCCCC1CCCCC1,76.8,2.2,Pfefferle
298,C=CCCCCCCCC,74.8,2.2,Pfefferle
299,CC(C)C1CCCCC1,74.7,2.2,Pfefferle
300,C#CCCCCCC,74.1,2.2,Pfefferle
301,C=C(C)C(C)(C)C,72.8,2.2,Pfefferle
302,C1=CCCC1,70.2,2.1,Pfefferle
303,CCCC1CCCCC1,69.2,2.1,Pfefferle
304,C=C(C)CC(C)(C)C,68.5,2.1,Pfefferle
305,CC1(C)CCCCC1,67.9,2.1,Pfefferle
306,C=CCCC(=C)C,67.7,2.1,Pfefferle
307,CC1CCCC(C)C1,67.6,2.1,Pfefferle
308,CC1CCC(C)CC1,67.6,2.1,Pfefferle
309,CC(C)(C)C(=O)C(C)(C)C,65.8,2,Pfefferle
310,C[C@H]1CCCC[C@H]1C,65.2,2,Pfefferle
311,CCCCC=C(C)C,64.5,2,Pfefferle
312,C=CCCCCCCC,64.4,2,Pfefferle
313,CC(C)CCOCCC(C)C,63.6,2,Pfefferle
314,CC(C)=C(C)C,62.4,2,Pfefferle
315,CC(CC=O)CC(C)(C)C,62.3,2,Pfefferle
316,COC1CCCC1,62.3,2,Pfefferle
317,CC(C)CC(C)(C)C,61.7,2,Pfefferle
318,C=CCC(C)(C)C,61.4,2,Pfefferle
319,CC(C)C(C)C(C)C,60.9,2,Pfefferle
320,CCC1CCCCC1,60.7,2,Pfefferle
321,CCCCC(C)C(C)C,60.2,2,Pfefferle
322,CC=C(CC)CC,59.8,2,Pfefferle
323,CCC/C=C/CCC,59.8,2,Pfefferle
324,CC(CO)CC(C)(C)C,59,2,Pfefferle
325,CC/C=C/CCCC,58.8,2,Pfefferle
326,CCC1CCCC1,58.6,2,Pfefferle
327,C1CCCCCCC1,57.7,2,Pfefferle
328,C/C=C/CCCCC,56.7,2,Pfefferle
329,C=C(C)CCCCC,56.6,2,Pfefferle
330,CCC(C)CC(C)C,56.1,2,Pfefferle
331,CC(C)CCC(C)C,56.1,2,Pfefferle
332,C=CCCCCCC,56,2,Pfefferle
333,CC(C)CC(=O)CC(C)C,55.8,2,Pfefferle
334,C=CCC(C)CC,55.8,2,Pfefferle
335,CC(C)C(C)(C)C,55.3,2,Pfefferle
336,CCC(C)C(C)CC,55.2,2,Pfefferle
337,CC#CCC,54.7,2,Pfefferle
338,C/C=C\C(C)C,54.1,2,Pfefferle
339,CCC(C)OC(C)CC,54,2,Pfefferle
340,C/C=C(\C)CC,53.7,2,Pfefferle
341,CCC=C(C)C,53.6,2,Pfefferle
342,CC1CCCCC1,53.6,2,Pfefferle
343,CC/C=C/CCC,53.5,2,Pfefferle
344,C=C(C)C(C)C,53.4,2,Pfefferle
345,C=CC(C)(C)C,53.1,2,Pfefferle
346,CCCCC(C)(C)C,52.8,2,Pfefferle
347,CCCCCCCCCC=O,52.8,2,Pfefferle
348,CCCCCCCCC(C)=O,51.9,2,Pfefferle
349,C/C=C\CCCC,50.8,2,Pfefferle
350,CCCC(CO)CCC,50.5,2,Pfefferle
351,CCCCC(CC)CO,50.4,2,Pfefferle
352,CC1CCCC1,50.3,2,Pfefferle
353,CCCCCCCC(=O)CC,50.2,2,Pfefferle
354,C=CCC(C)C,50.2,2,Pfefferle
355,CCCCCCCCC,50.1,2,Pfefferle
356,C1CCCCCC1,50,2,Pfefferle
357,CC(C)CC(C)C,49.6,2,Pfefferle
358,CCC(C)C(C)C,49.4,2,Pfefferle
359,CCCCCC(C)C,49.4,2,Pfefferle
360,C=C(C)CCCC,49.1,2,Pfefferle
361,CCCCC(C)CC,48.7,2,Pfefferle
362,C=CCCCCC,48.4,2,Pfefferle
363,CCCCC(C=O)CCCC,48.2,2,Pfefferle
364,CCCC(C)CCC,48.1,2,Pfefferle
365,CCC(C)(C)CC,47.7,2,Pfefferle
366,CCCC(C)(C)C,47.4,2,Pfefferle
367,C#CCCC,47.3,2,Pfefferle
368,CC/C=C/CC,47.2,2,Pfefferle
369,CCCCCCC(C)O,46.1,2,Pfefferle
370,CCC(O)C(C)(C)C,46,2,Pfefferle
371,C/C=C/CCC,45.8,2,Pfefferle
372,C=C(CC)CC,45.6,2,Pfefferle
373,C1=CCCCC1,45.6,2,Pfefferle
374,CC/C=C/CC(=O)OC,45.3,2,Pfefferle
375,CCCCCCCC(C)=O,45.1,2,Pfefferle
376,C=CC(C)CC,45.1,2,Pfefferle
377,CC(C)CCC(C)O,44.7,2,Pfefferle
378,C/C=C\CCC,44.7,2,Pfefferle
379,CC(O)COC(C)(C)C,44,2,Pfefferle
380,CC(C)C(C)C,44,2,Pfefferle
381,CCCCC(O)CCC,43.8,2,Pfefferle
382,CCCCCCCCC=O,43.7,2,Pfefferle
383,CCCCCC(O)CC,43.6,2,Pfefferle
384,CC(=O)OCCC(C)C,43.6,2,Pfefferle
385,CC=C(C)C,43.5,2,Pfefferle
386,CCC(=O)CC(C)CC,43.5,2,Pfefferle
387,CCC(C)(C)C,43.4,2,Pfefferle
388,CCCCOC(=O)CC,43.3,2,Pfefferle
389,CCCC(C)CC,43,2,Pfefferle
390,CCCCCCC(=O)CC,43,2,Pfefferle
391,C=C(C)CCC,42.9,2,Pfefferle
392,CC(=O)CC(C)(C)C,42.7,2,Pfefferle
393,C1CCCCC1,42.7,2,Pfefferle
394,CC(C)C(=O)C(C)C,42.6,2,Pfefferle
395,CCCCCCCC,42.6,2,Pfefferle
396,C=CCCCC,42.4,2,Pfefferle
397,CCCCC(C)C,42.4,2,Pfefferle
398,OC1CCCCC1,42.3,2,Pfefferle
399,CC(C)CC(C)O,42,2.1,Pfefferle
400,CCC=C(C)C(=O)OC,42,2.1,Pfefferle
401,CC(C)C(O)C(C)C,41.9,2.1,Pfefferle
402,CCCCC(C)(C)O,41.8,2.1,Pfefferle
403,CCCCC(=O)CCCC,41.8,2.1,Pfefferle
404,CCC(CC)CO,41.7,2.1,Pfefferle
405,C=CCCC(=O)OCC,41.2,2.1,Pfefferle
406,CCCCCCCCO,41.1,2.1,Pfefferle
407,CCC(=O)OCC(C)C,41.1,2.1,Pfefferle
408,CC(C)(C)CCO,40.9,2.1,Pfefferle
409,CC(C)C(C)(C)O,40.6,2.1,Pfefferle
410,CC(=O)C(C)(C)C,40.6,2.1,Pfefferle
411,CCC(O)(CC)CC,40.5,2.1,Pfefferle
412,CCC(=O)OC(C)(C)C,40.5,2.1,Pfefferle
413,CC(O)C(C)(C)C,40.4,2.1,Pfefferle
414,CCCCCOC(C)=O,40.4,2.1,Pfefferle
415,C/C=C\CC,39.8,2.1,Pfefferle
416,CCOC(=O)C=C(C)C,39.5,2.1,Pfefferle
417,CCCCCC(C)O,39.4,2.1,Pfefferle
418,C1CCCC1,39.4,2.1,Pfefferle
419,C=CCCCC(=O)OC,39.2,2.1,Pfefferle
420,CCCCCCCC(=O)OC,38.9,2.1,Pfefferle
421,C/C=C/CC(=O)OC,38.8,2.1,Pfefferle
422,CCCCOCCCC,38.7,2.1,Pfefferle
423,CC(C)OC(C)C,38.7,2.1,Pfefferle
424,CCCCC(O)CC,38.5,2.1,Pfefferle
425,CCCC(O)CCC,38.5,2.1,Pfefferle
426,CC(C)(C)CC=O,38.4,2.1,Pfefferle
427,CCC(C)CC,38.2,2.1,Pfefferle
428,CC(C)CCOC=O,38.2,2.1,Pfefferle
429,CCC(C)(C)OC,38.1,2.1,Pfefferle
430,C/C=C(/C)C(=O)OC,38,2.1,Pfefferle
431,CCCCCCC(C)=O,37.9,2.1,Pfefferle
432,CCOC(C)(C)C,37.9,2.1,Pfefferle
