ID,CID,Name,RON,Smiles,Source
67,91517,"1,2,4-Trimethylcyclohexane",72.9,CC1CCC(C(C1)C)C,QMMGoogleDrive
68,20615,"1,1,3-Trimethylcyclopentane",81.7,CC1CCC(C1)(C)C,QMMGoogleDrive
69,17149,"1,3-Dimethylcyclopentane",79.9,CC1CCC(C1)C,QMMGoogleDrive
70,35368,"1,2,3-Trimethylcyclopentane",89.2,CC1CCC(C1C)C,QMMGoogleDrive
71,11523,"1,4-Dimethylcyclohexane",67.7,CC1CCC(CC1)C,QMMGoogleDrive
72,7459,1-Isopropyl-4-methylcyclohexane,67.3,CC1CCC(CC1)C(C)C,QMMGoogleDrive
73,10129,Pinane,77.7,CC1CCC2CC1C2(C)C,FeatureCreature
74,18309,"1,1,3-Trimethylcyclohexane",81.3,CC1CCCC(C1)(C)C,QMMGoogleDrive
75,11564,"1,3-Dimethylcyclohexane",69.3,CC1CCCC(C1)C,QMMGoogleDrive
76,15507,"1,2,3-Trimethylcyclohexane",84.8,CC1CCCC(C1C)C,QMMGoogleDrive
77,7296,Methylcyclopentane,89.3,CC1CCCC1,QMMGoogleDrive
78,7962,Methylcyclohexane,73.8,CC1CCCCC1,QMMGoogleDrive
79,35363,"1,1,2-Trimethylcyclohexane",95.7,CC1CCCCC1(C)C,QMMGoogleDrive
80,11416,"1,2-Dimethylcyclohexane",80.9,CC1CCCCC1C,QMMGoogleDrive
81,8252,Propene,101.8,CC=C,QMMGoogleDrive
82,10553,2-Methyl-2-Butene,97.3,CC=C(C)C,QMMGoogleDrive
83,11738,"3,4,4-Trimethyl-2-Pentene",103,CC=C(C)C(C)(C)C,QMMGoogleDrive
84,32737,"3,4-Dimethyl-2-Pentene",96.2,CC=C(C)C(C)C,QMMGoogleDrive
85,12220,2-Butene,101.6,CC=CC,QMMGoogleDrive
86,12659,4-Methyl-2-Pentene,98.9,CC=CC(C)C,QMMGoogleDrive
87,6334,Propane,111,CCC,QMMGoogleDrive
