,CID,Name,RON,Smiles,Source
104,11216,"2,3,3-Trimethyl-1-Pentene",106.0,CCC(C)(C)C(=C)C,QMMGoogleDrive
105,11215,"2,3,3-Trimethylpentane",106.1,CCC(C)(C)C(C)C,QMMGoogleDrive
138,18852,"3,3-Dimethyl-1-Pentene",103.5,CCC(C)(C)C=C,QMMGoogleDrive
149,137136,"4,4-Diethyl-1-Heptene",79.8,CCC(C)(C)CC=C,QMMGoogleDrive
131,14018,3-Methyl-3-ethylpentane,80.8,CCC(C)(CC)CC,QMMGoogleDrive
76,6556,2-Methylbutane,92.3,CCC(C)C,QMMGoogleDrive
97,18851,"2,3-Dimethyl-1-Pentene",99.3,CCC(C)C(=C)C,QMMGoogleDrive
5,13357,Methyl 2-methylbutanoate,110.5,CCC(C)C(=O)OC,QMMGoogleDrive
91,11255,"2,2,3-Trimethylpentane",109.6,CCC(C)C(C)(C)C,QMMGoogleDrive
103,11260,"2,3-Dimethylpentane",91.1,CCC(C)C(C)C,QMMGoogleDrive
186,23468,sec-Butylcyclohexane,51.0,CCC(C)C1CCCCC1,QMMGoogleDrive
129,12969,3-Methyl-1-Pentene,96.0,CCC(C)C=C,QMMGoogleDrive
135,7282,3-Methylpentane,74.5,CCC(C)CC,QMMGoogleDrive
141,23544,"3,3,5-Trimethylheptane",86.4,CCC(C)CC(C)(C)CC,QMMGoogleDrive
111,11511,"2,4-Dimethylhexane",65.2,CCC(C)CC(C)C,QMMGoogleDrive
144,19589,4-Methyl-1-Hexene,86.4,CCC(C)CC=C,QMMGoogleDrive
27,8723,2-methyl-butanol,101.0,CCC(C)CO,QMMGoogleDrive
10,6568,2-butanol,107.0,CCC(C)O,QMMGoogleDrive
119,140591,3-Ethyl-2-Methyl-1-Pentene,99.5,CCC(CC)C(=C)C,QMMGoogleDrive
83,28026,"2,2-Dimethyl-3-ethylpentane",112.1,CCC(CC)C(C)(C)C,QMMGoogleDrive
73,11863,2-Methyl-3-ethylpentane,87.3,CCC(CC)C(C)C,QMMGoogleDrive
118,19951,3-Ethyl-1-Pentene,95.6,CCC(CC)C=C,QMMGoogleDrive
124,12048,3-Ethylpentane,65.0,CCC(CC)CC,QMMGoogleDrive
383,5357255,2-Methyl-3-heptene (trans),94.4,CCC/C=C/C(C)C,FeatureCreature
41,35411,1-Methyl-1-ethylcyclohexane,68.7,CCC1(CCCCC1)C,QMMGoogleDrive
11,7500,Ethylbenzene,107.0,CCC1=CC=CC=C1,QMMGoogleDrive
382,137449,2-Ethylbicyclo(2.2.1)heptane,51.9,CCC1CC2CCC1C2,FeatureCreature
37,19502,1-Ethyl-3-Methylcyclopentane,57.6,CCC1CCC(C1)C,QMMGoogleDrive
165,15431,Ethylcyclopentane,67.2,CCC1CCCC1,QMMGoogleDrive
42,136729,1-Methyl-2-ethylcyclopentane,57.6,CCC1CCCC1C,QMMGoogleDrive
164,15504,Ethylcyclohexane,46.5,CCC1CCCCC1,QMMGoogleDrive
163,139398,Ethylcycloheptane,28.0,CCC1CCCCCC1,QMMGoogleDrive
36,7844,1-Butene,98.8,CCC=C,QMMGoogleDrive
72,12243,2-Methyl-2-Pentene,97.8,CCC=C(C)C,QMMGoogleDrive
132,138074,3-Methyl-3-Hexene,96.2,CCC=C(C)CC,QMMGoogleDrive
82,12585,2-Pentene,87.8,CCC=CC,QMMGoogleDrive
84,69649,"2,2-Dimethyl-3-Hexene",106.0,CCC=CC(C)(C)C,QMMGoogleDrive
75,39145,2-Methyl-3-Hexene,97.9,CCC=CC(C)C,QMMGoogleDrive
