SMILES,YSI,YSI_err,Source
CC(C)C(C)(C)O,40.6,2.1,Pfefferle
CC(=O)C(C)(C)C,40.6,2.1,Pfefferle
CCC(O)(CC)CC,40.5,2.1,Pfefferle
CCC(=O)OC(C)(C)C,40.5,2.1,Pfefferle
CC(O)C(C)(C)C,40.4,2.1,Pfefferle
CCCCCOC(C)=O,40.4,2.1,Pfefferle
C/C=C\CC,39.8,2.1,Pfefferle
CCOC(=O)C=C(C)C,39.5,2.1,Pfefferle
CCCCCC(C)O,39.4,2.1,Pfefferle
C1CCCC1,39.4,2.1,Pfefferle
C=CCCCC(=O)OC,39.2,2.1,Pfefferle
CCCCCCCC(=O)OC,38.9,2.1,Pfefferle
C/C=C/CC(=O)OC,38.8,2.1,Pfefferle
CCCCOCCCC,38.7,2.1,Pfefferle
CC(C)OC(C)C,38.7,2.1,Pfefferle
CCCCC(O)CC,38.5,2.1,Pfefferle
CCCC(O)CCC,38.5,2.1,Pfefferle
CC(C)(C)CC=O,38.4,2.1,Pfefferle
CCC(C)CC,38.2,2.1,Pfefferle
CC(C)CCOC=O,38.2,2.1,Pfefferle
CCC(C)(C)OC,38.1,2.1,Pfefferle
C/C=C(/C)C(=O)OC,38,2.1,Pfefferle
CCCCCCC(C)=O,37.9,2.1,Pfefferle
CCOC(C)(C)C,37.9,2.1,Pfefferle
CCC(C)C(C)O,37.7,2.1,Pfefferle
CCCCCCCC=O,37.5,2.1,Pfefferle
CCCOC(=O)CCC,37.3,2.1,Pfefferle
C=C(C)C(=O)OCCC,37.1,2.1,Pfefferle
CCCC(C)C,36.7,2.1,Pfefferle
CCCCC(C=O)CC,36.6,2.1,Pfefferle
CCOC(=O)CC(C)C,36.6,2.1,Pfefferle
CCCC(C)(C)O,36.4,2.1,Pfefferle
COC(=O)C=C(C)C,36.4,2.1,Pfefferle
CCC(C)CCO,36.3,2.1,Pfefferle
CCCC(=O)OC(C)C,36.3,2.1,Pfefferle
CCCCCC(=O)CC,36,2.2,Pfefferle
CCCCOC(C)=O,36,2.2,Pfefferle
CCCCCCC,36,2.2,Pfefferle
CCCC(=O)C(C)C,35.9,2.2,Pfefferle
CCC/C=C/C(=O)OC,35.9,2.2,Pfefferle
CCCC(C)CO,35.8,2.2,Pfefferle
CCCCCOC=O,35.7,2.2,Pfefferle
CC(C)CCCO,35.6,2.2,Pfefferle
CCC(C)OC(C)=O,34.9,2.2,Pfefferle
CC(=O)OCC(C)C,34.8,2.2,Pfefferle
CCCCCCCO,34.7,2.2,Pfefferle
CCCOC(=O)OCCC,34.5,2.2,Pfefferle
O=C1CCCCC1,34.3,2.2,Pfefferle
CCCCC(C)O,34.1,2.2,Pfefferle
C/C=C(\C)C(=O)OCC,34,2.2,Pfefferle
CCCC(O)CC,33.9,2.2,Pfefferle
