,#Name,PubChem,Cetane,Smiles,Source
644,"(9R,10S)-dipropyloctadecane",,47.0,CCCCCCCC[C@@H](CCC)[C@@H](CCC)CCCCCCCC,Saldana
642,"(9R,10R)-dipropyloctadecane",,47.0,CCCCCCCC[C@@H](CCC)[C@H](CCC)CCCCCCCC,Saldana
423,4(R)-phenyldodecane,,42.0,CCCCCCCC[C@@H](CCC)c1ccccc1,Saldana
645,"(9S,10S)-dimethyloctadecane",,59.0,CCCCCCCC[C@H](C)[C@@H](C)CCCCCCCC,Saldana
646,"(9S,10S)-dipropyloctadecane",,47.0,CCCCCCCC[C@H](CCC)[C@@H](CCC)CCCCCCCC,Saldana
424,4(S)-phenyldodecane,,42.0,CCCCCCCC[C@H](CCC)c1ccccc1,Saldana
411,2-octylnaphthalene,,18.0,CCCCCCCCc1ccc2ccccc2c1,Saldana
442,octylxylene,,20.0,CCCCCCCCc1cccc(C)c1C,Saldana
440,octylbenzene,,32.0,CCCCCCCCc1ccccc1,Saldana
65,1-heptanol,8129.0,29.0,CCCCCCCO,FeatureCreature
437,n-heptylbenzene,,35.0,CCCCCCCc1ccccc1,Saldana
58,1-hexanol,8103.0,23.3,CCCCCCO,FeatureCreature
296,hexylmethyl ether,78484.0,99.8,CCCCCCOC,FeatureCreature
124,n-hexyl acetate,8908.0,33.8,CCCCCCOC(=O)C,FeatureCreature
276,dihexyl phthalate,6786.0,48.0,CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,FeatureCreature
357,Hexyl butyrate,17525.0,29.0,CCCCCCOC(=O)CCC,FeatureCreature
361,Hexyl hexanoate,22873.0,40.0,CCCCCCOC(=O)CCCCC,FeatureCreature
41,dihexyl azelate,7985.0,99.0,CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,FeatureCreature
555,2-methyl-3(R)-cyclohexylnonane,,63.0,CCCCCC[C@@H](C(C)C)C1CCCCC1,Saldana
598,"(8E)-(7R,10S)-dimethylhexadec-8-ene",,43.0,CCCCCC[C@@H](C)/C=C/[C@@H](C)CCCCCC,Saldana
597,"(8E)-(7R,10R)-dimethylhexadec-8-ene",,43.0,CCCCCC[C@@H](C)/C=C/[C@H](C)CCCCCC,Saldana
602,"(8Z)-(7R,10S)-dimethylhexadec-8-ene",,43.0,CCCCCC[C@@H](C)/C=C\[C@@H](C)CCCCCC,Saldana
